code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Anesthesia services performed personally by an anesthesiologist,,,,,0
,,Assistant Surgeon,,,,,0
,,Assistant Surgeon (when qualified resident not available),,,,,0
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Co-Surgeon,,,,,0
,,Co-Surgeons,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Increased Procedural Services,,,,,0
,,Medical Supervision by a physician; more than 4 concurrent anesthesia procedures,,,,,0
,,"Medical direction of 2, 3, or 4 concurrent anesthesia procedures involving qualified individuals",,,,,0
,,Medical direction of one qualified nonphysician anesthetist by an anesthesiologist,,,,,0
,,"Medical direction of two, three or four concurrent anesthesia procedures involving qualified individuals",,,,,0
,,Minimum Assistant Surgeon,,,,,0
,,Multiple Procedures,,,,,0
,,Non-excepted off-campus service,,,,,0
,,"Physician Assistant (PA), Nurse Practitioner (NP) or Clinical Nurse Specialist (CNS) assistant at surgery services",,,,,0
,,"Physician Assistant, Nurse Practitione, or Clinical Nurse Specialist Services for Assistant at Surgery",,,,,0
,,Physician medical direction service,,,,,0
,,Postoperative Management Only,,,,,0
,,Preoperative Management Only,,,,,0
,,Qualified nonphysician anesthetist service with physician medical direction,,,,,0
,,Qualified nonphysician anesthetist with medical direction by a physician,,,,,0
,,Reduced Services,,,,,0
,,Reduced services,,,,,0
,,"Significant, Separately Identifiable E&M by the Same Physician on the Same Day of Procedure",,,,,0
,,Surgical Care Only,,,,,0
,,Unplanned Return to Operating Room by Same Physician,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
APR-DRG,0011,APR-DRG 41.00: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,92976.04,102276.78,2
APR-DRG,0012,APR-DRG 41.00: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,104315.19,114750.23,2
APR-DRG,0013,APR-DRG 41.00: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,139267.68,153199.15,2
APR-DRG,0014,APR-DRG 41.00: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,219739.33,241720.68,2
APR-DRG,0021,APR-DRG 41.00: HEART AND/OR LUNG TRANSPLANT,,,76761.15,84439.86,2
APR-DRG,0022,APR-DRG 41.00: HEART AND/OR LUNG TRANSPLANT,,,93371.18,102711.45,2
APR-DRG,0023,APR-DRG 41.00: HEART AND/OR LUNG TRANSPLANT,,,129732.16,142709.75,2
APR-DRG,0024,APR-DRG 41.00: HEART AND/OR LUNG TRANSPLANT,,,204978.03,225482.74,2
APR-DRG,0041,APR-DRG 41.00: TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,71309.91,78443.31,2
APR-DRG,0042,APR-DRG 41.00: TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,97632.26,107398.78,2
APR-DRG,0043,APR-DRG 41.00: TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,141758.36,155938.97,2
APR-DRG,0044,APR-DRG 41.00: TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,212098.82,233315.85,2
