code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued OP Hospital/ASC Procedure Prior to Administration of Anesthesia,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,Reduced Services,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
CDM,11100001,HC UNCH PRIVATE ROOM,2374.0,1424.4,1129.0,4998.0,4
CDM,11100005,HC HBR PRIVATE ROOM,2374.0,1424.4,1129.0,4998.0,4
CDM,11130001,HC UNCH PEDS PRIVATE ROOM,2374.0,1424.4,1129.0,4998.0,4
CDM,11140001,HC UNCH PSYCH PRIVATE ROOM,2967.0,1780.2,1318.0,4481.0,4
CDM,11150005,HC UNCH HOSPICE PRIVATE ROOM,1667.0,1000.2,889.0,4481.0,4
CDM,11180001,HC UNCH REHAB PRIVATE ROOM,2374.0,1424.4,1511.0,3481.0,9
CDM,11200001,HC UNCH SEMI PRIVATE ROOM,2374.0,1424.4,1129.0,4998.0,4
CDM,11200002,HC UNCH INPT EATING DISORDERS SEMI PRIVATE ROOM,3460.0,2076.0,1318.0,4481.0,4
CDM,11240001,HC UNCH PSYCH SEMI PRIVATE ROOM,2967.0,1780.2,1318.0,4481.0,4
CDM,11280001,HC UNCH REHAB SEMI PRIVATE ROOM,2374.0,1424.4,721.0,3481.0,11
CDM,11300001,HC UNCH SEMI PRIVATE ROOM 3-4,2374.0,1424.4,721.0,3481.0,11
CDM,11711001,HC UNCH LEVEL 1 NURSERY ROOM,1922.0,1153.2,717.0,4481.0,6
CDM,11720001,HC UNCH LEVEL 2 NURSERY ROOM,3282.0,1969.2,2242.0,4481.0,6
