code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-HCANC17100006,HC Recovery Room First 30 Min,1408.0,281.6,352.0,1337.6,81
CDM,PX-HCANC17100007,HC Recovery Room Ea Addl 15 Min,413.0,82.6,103.25,392.35,81
CDM,PX-HCANC17610001,HC Pacu Minor Procedure,1054.0,210.8,139.13,1054.0,98
CDM,PX-HCANC17610002,HC Cv Cardioversion External,2656.0,531.2,617.08,2523.2,86
CDM,PX-HCANC17610003,HC Cv Cardioversion Discontinued,1806.0,361.2,532.77,1851.24,86
CDM,PX-HCANC17610004,HC Blood Patch,2296.0,459.2,303.07,2296.0,98
CDM,PX-HCANC17610005,HC Acute Pain Procedure,3320.0,664.0,438.24,3320.0,98
CDM,PX-HCANC19010001,HC Electroconvulsive Therapy Tx,1044.0,208.8,137.81,1044.0,93
CDM,PX-HCANC33000001,"Hcc Hla-a, B, C & Drb1 High Resolution",8228.0,1645.6,2057.0,7816.6,45
CDM,PX-HCANC33000002,Hcc Hla-Drb3/4/5,3255.0,651.0,81.99,3092.25,49
CDM,PX-HCANC33000003,Hcc Hla-Dqa1 High Resolution,3335.0,667.0,81.99,3168.25,49
CDM,PX-HCANC33000004,Hcc Hla-Dqb1 High Resolution,3331.0,666.2,81.99,3164.45,49
CDM,PX-HCANC33000005,Hcc Hla-Dpa1 High Resolution,3410.0,682.0,81.99,3239.5,49
CDM,PX-HCANC33000006,Hcc Hla-Dpb1 High Resolution,3331.0,666.2,81.99,3164.45,49
CDM,PX-HCANC33000007,HC Hla - Whole Gene,1659.0,331.8,81.99,1576.05,49
CDM,PX-HCANC33020001,Hcc Syphilis Test; Qual,150.0,30.0,44.25,142.5,43
CDM,PX-HCANC33020002,Hcc Syphilis Test; Qual-For,458.0,91.6,81.99,435.1,43
CDM,PX-HCANC33020003,Hcc Cmv Antibody,165.0,33.0,48.68,156.75,43
CDM,PX-HCANC33020004,Hcc Cmv Antibody-For,499.0,99.8,81.99,474.05,43
CDM,PX-HCANC33020005,"Hcc Cmv Antibody, Igm",195.0,39.0,57.53,185.25,43
CDM,PX-HCANC33020006,"Hcc Cmv Antibody, Igm-For",590.0,118.0,81.99,560.5,43
CDM,PX-HCANC33020007,Hcc Anti-Htlv I,96.0,19.2,24.0,91.2,44
CDM,PX-HCANC33020008,Hcc Anti-Htlv I-For,291.0,58.2,72.75,276.45,44
CDM,PX-HCANC33020009,Hcc Anti-Htlv II,138.0,27.6,34.5,131.1,44
CDM,PX-HCANC33020010,Hcc Anti-Htlv II-For,416.0,83.2,81.99,395.2,44
CDM,PX-HCANC33020011,"Hcc Htlv or Hiv Ab, Confirm Test",223.0,44.6,65.79,211.85,43
CDM,PX-HCANC33020012,"Hcc Htlv or Hiv Ab, Confirm-For",673.0,134.6,81.99,639.35,43
CDM,PX-HCANC33020013,"Hcc Anti-Hiv 1,2, Single Assay",138.0,27.6,40.71,131.1,43
CDM,PX-HCANC33020014,"Hcc Anti-Hiv 1,2, Single -For",416.0,83.2,81.99,395.2,43
CDM,PX-HCANC33020015,"Hcc Anti - Hbc, Total",140.0,28.0,41.3,133.0,43
CDM,PX-HCANC33020016,"Hcc Anti - Hbc, Total-For",423.0,84.6,81.99,401.85,43
CDM,PX-HCANC33020017,Hcc Anti - Hbc -Igm Antibody,134.0,26.8,39.53,127.3,43
CDM,PX-HCANC33020018,Hcc Anti - Hbc -Igm Ab-For,407.0,81.4,81.99,386.65,43
CDM,PX-HCANC33020019,Hcc Anti - Hcv,308.0,61.6,81.99,292.6,43
CDM,PX-HCANC33020020,Hcc Anti - Hcv-For,930.0,186.0,81.99,883.5,43
CDM,PX-HCANC33020021,Hcc Hep C Ab Confirmatory Test,179.0,35.8,52.81,170.05,43
CDM,PX-HCANC33020022,Hcc Hep C Ab Confirmatory-For,541.0,108.2,81.99,513.95,43
CDM,PX-HCANC33020023,HC IR-a or IR-B Typing; Cord,1743.0,348.6,81.99,1655.85,43
CDM,PX-HCANC33020024,HC IR-C Typing; Cord,1894.0,378.8,81.99,1799.3,43
CDM,PX-HCANC33020025,HC Lr-a Typing; Cord,1865.0,373.0,81.99,1771.75,43
CDM,PX-HCANC33020026,HC Lr-B Typing; Cord,2024.0,404.8,81.99,1922.8,43
CDM,PX-HCANC33020027,HC Hr-C Typing; Cord,1762.0,352.4,81.99,1673.9,43
CDM,PX-HCANC33020028,HC Hr-a Typing; Cord,1842.0,368.4,81.99,1749.9,43
CDM,PX-HCANC33020029,HC Hr-B Typing; Cord,1883.0,376.6,81.99,1788.85,43
CDM,PX-HCANC33020030,HC Hr-a Donor Typing,220495.0,44099.0,81.99,209470.25,43
CDM,PX-HCANC33020031,HC Hr-B Donor Typing,3499.0,699.8,81.99,3324.05,43
CDM,PX-HCANC33020032,HC Hr-C Donor Typing,3494.0,698.8,81.99,3319.3,43
CDM,PX-HCANC33020033,"HC IR-a,B,C Donor Typing",3209.0,641.8,946.66,3048.55,44
CDM,PX-HCANC33020034,HC Hr-Dqb1 Typing; Cord,1460.0,292.0,430.7,1387.0,44
CDM,PX-HCANC33020035,HC Hr-Dpb1 Typing; Cord,1681.0,336.2,495.9,1596.95,44
CDM,PX-HCANC33020036,HC Hr-Dqb1 Donor Typing,3331.0,666.2,982.65,3164.45,44
CDM,PX-HCANC33020037,HC Hr-Drb1 Typing; Cord,2654.0,530.8,782.93,2521.3,44
CDM,PX-HCANC33020038,HC Hr-Drb1 Donor Typing,3331.0,666.2,982.65,3164.45,44
CDM,PX-HCANC33020039,"HC IR-Drb 3,4,5; Cord",2625.0,525.0,774.38,2493.75,44
CDM,PX-HCANC33020040,"HC IR-a,B,Drb 3,4,5/Hr-Drb1;Cord",4662.0,932.4,1375.29,4428.9,44
CDM,PX-HCANC33020041,"HC Hr-a,B,Drb1/IR-Drb 3,4,5;Cord",4528.0,905.6,1335.76,4301.6,44
CDM,PX-HCANC33020042,HC Confirm Typing Blood Smpl/Usa,2352.0,470.4,81.99,2234.4,43
CDM,PX-HCANC33020043,HC Confirm Typing Blood Smpl/For,5148.0,1029.6,81.99,4890.6,43
CDM,PX-HCANC33060001,Hcc Hepatitis B Surface Antigen,334.0,66.8,81.99,317.3,43
CDM,PX-HCANC33060002,Hcc Hepatitis B Surface Ag-For,881.0,176.2,81.99,836.95,43
