hospital_name,last_updated_on,version,location_name,hospital_address,license_number|NH,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Wentworth Douglass Hospital,2026-03-27,3.0.0,Wentworth Douglass Hospital,789 Central Ave Dover NH 03820,00010,1033118104,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","both","","","208.00","124.80","AETNA [1001]","HB WDH AETNA COMMERCIAL","145.18","69.8","","140.30","140.30","140.30","1 through 10","25.03","198.67","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","208.00","124.80","HARVARD PILGRIM [120001]","HB WDH HPHC HMO POS PPO","151.26","72.72","","146.17","146.17","146.17","1 through 10","35.87","160.99","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","208.00","124.80","MGB HEALTH PLAN [150001]","HB WDH MGBHP PPO","130.83","62.9","","126.63","126.63","126.63","1 through 10","35.87","160.99","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","208.00","124.80","UNITED HEALTHCARE [1016]","HB WDH UNITED HMO / PPO / INDEM","160.99","77.4","","155.78","155.78","155.78","1 through 10","35.87","160.99","percent of total billed charges",""
"3d Echo Img&Pst-Pxessing Tee/Tte Cgen Car Anomal","PX-48000480","CDM","93319","CPT","0483","RC","","","","outpatient","","","489.00","293.40","GENERIC COMMERCIAL [1009]","HB WDH AMERIHEALTH CARITAS","70.51","14.42","","68.06","68.06","68.06","1 through 10","56.87","378.49","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","AETNA [1001]","HB WDH AETNA COMMERCIAL","1523.73","69.8","","1470.69","1470.69","1470.69","1 through 10","959.93","6260.06","percent of total billed charges",""
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","AETNA [1001]","HB WDH AETNA MEDICARE REPLACEMENT","999.12","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 102%.","979.64","979.64","979.64","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM FEDERAL","6260.06","","Case rate ($6,260.06). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($0) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","2217.90","2217.90","2217.90","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM HMO","2695.58","","Case rate ($2,695.58). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($0) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","2629.86","2107.00","2629.86","1 through 10","959.93","6260.06","other","OPPS APC"
"Abdominal Paracentesis W/ Imaging","PX-75000278","CDM","49083","CPT","0761","RC","","","","both","","","2183.00","1309.80","BLUE CROSS BLUE SHIELD [110001]","HB WDH ANTHEM MEDICARE REPLACEMENT + PATHWAYS","959.93","","APC Price ($979.53). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.204). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","979.64","883.23","979.64","13","959.93","6260.06","other","OPPS APC"
