code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,832.0,499.2,96.76,1406.76,18
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,334.0,200.4,38.84,308.05,22
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,1041.0,624.6,121.07,1406.76,20
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,295.0,177.0,34.31,308.05,20
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,427.0,256.2,49.66,475.23,18
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,285.0,171.0,33.15,220.59,6
CDM,PX-26000007,Sc Infus Thpy/Proph/Dx Intl Up to 1,1288.0,772.8,226.72,226.72,1
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,226.0,135.6,26.28,475.23,19
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,535.0,321.0,62.22,1406.76,23
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,227.0,136.2,26.4,308.05,22
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,375.0,225.0,163.95,318.75,9
CDM,PX-26000022,Appl on-Body Injector for Timed Sc Inj - 96377,277.0,166.2,193.35,193.35,1
CDM,PX-27000031,HC Brachy Nonstranded IR-192 Hdr per Source Tier1,1437.0,862.2,335.54,2286.14,7
CDM,PX-27000057,HC Catheter Inf per/Cent/Midline O/Than Hem Tier1,1561.0,936.6,181.54,1135.16,3
CDM,PX-27000191,Lead Neurostimulator Test Kit T1,4945.0,2967.0,575.1,3596.0,3
CDM,PX-27000478,Eo W/O Joints Custom T1,321.0,192.6,201.91,201.91,1
CDM,PX-27000491,"Whfo, Rigid W/O Joints",371.0,222.6,211.1,269.79,4
CDM,PX-27000495,HC Who Gauntlet Molded Custom Tier1,468.0,280.8,54.43,362.23,9
CDM,PX-27000498,Hfo W/O Joints Cf,301.0,180.6,171.27,218.89,4
CDM,PX-27000499,Ho W/O Joints Custom T1,301.0,180.6,171.27,171.27,1
CDM,PX-27000506,Fo W/O Joint Custom T1,237.0,142.2,103.62,183.44,5
CDM,PX-27000507,Fo Nontorsion Joint Custom T1,245.0,147.0,154.11,154.11,1
CDM,PX-27001032,Epifix 6 Sq Cm Tier1,1230.0,738.0,792.49,792.49,1
CDM,PX-27001033,Epifix 16 Sq Cm Tier3,1457.0,874.2,938.75,938.75,1
CDM,PX-27001040,Apligraf 44 Sq Cm Tier1,186.0,111.6,26.82,26.82,1
CDM,PX-27001963,HC Amb Surgical Boot Eac,52.0,31.2,6.05,6.05,1
CDM,PX-27002066,Epifix 18mm Disk (3 Sq Cm),2060.0,1236.0,1327.26,1327.26,1
CDM,PX-27002067,Epifix 2.0cm X 2.0cm (4 Sq Cm),2221.0,1332.6,1430.99,1430.99,1
CDM,PX-27002068,Epifix 2.0cm X 4.0cm (8 Sq Cm),1015.0,609.0,653.96,653.96,1
CDM,PX-27002069,Epifix 3.5cm X 3.5cm (8 Sq Cm),581.0,348.6,374.34,374.34,1
CDM,PX-27002070,Epifix 4.0cm X 4.5cm (11 Sq Cm),704.0,422.4,453.59,453.59,1
CDM,PX-27002286,Upgradeable Lens Iol Posterior Chamber,446.0,267.6,280.53,280.53,1
CDM,PX-27002453,Epifix Mesh 2cm X 3cm (4 Sq Cm),1400.0,840.0,902.02,902.02,1
CDM,PX-30000003,Venipuncture,16.0,9.6,10.06,13.6,6
CDM,PX-30000004,Collect Finger/Heel/Ear Stick,16.0,9.6,2.31,2.31,1
CDM,PX-30000006,Basic Metabolic Panel Calcium Ioniz,157.0,94.2,83.56,121.52,9
CDM,PX-30000008,Electrolyte Panel,100.0,60.0,62.9,72.72,2
CDM,PX-30000010,Hepatic Function Panel,116.0,69.6,50.72,98.6,13
CDM,PX-30000021,Cyclosporine (Sandimmune),98.0,58.8,52.16,71.27,4
CDM,PX-30000024,Ethosuximide,88.0,52.8,61.42,68.11,2
CDM,PX-30000035,Assay of Sirolimus,86.0,51.6,54.09,66.56,3
CDM,PX-30000036,Tacrolimus (Fk-506),73.0,43.8,31.92,56.5,6
CDM,PX-30000038,Therapeutic Drug Assay Other,103.0,61.8,45.03,74.9,6
CDM,PX-30000067,RBC Antibody Screen,131.0,78.6,54.71,356.75,20
CDM,PX-30000068,RBC Antibody Elution,377.0,226.2,237.13,924.85,2
CDM,PX-30000069,RBC Antibody Identification Panel,377.0,226.2,237.13,1941.37,10
CDM,PX-30000070,Coombs Direct,88.0,52.8,38.47,396.58,11
