code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,10000190,HCHG ADOL. PSYCH ROOM,4146.0,2073.0,1482.0,17224.0,4
CDM,10000290,HCHG ADULT PSYCH ROOM,3172.0,1586.0,1482.0,17224.0,4
CDM,10000390,HCHG CARDIAC CARE ROOM,8477.0,4238.5,1482.0,17224.0,2
CDM,10000490,HCHG DD RESIDENTIAL ROOM,1585.0,792.5,1482.0,17224.0,4
CDM,10000590,HCHG DUAL DIAGNOSIS ROOM,3172.0,1586.0,1482.0,17224.0,4
CDM,10000690,HCHG INTENSIVE CARE BM ROOM,8476.0,4238.0,1482.0,17224.0,2
CDM,10000790,HCHG INTENSIVE CARE ROOM,8476.0,4238.0,1482.0,17224.0,2
CDM,10000890,HCHG ISOLATION ROOM,3565.0,1782.5,1482.0,17224.0,2
CDM,10001090,HCHG NEWBORN ROOM,1246.0,623.0,1170.0,17224.0,3
CDM,10001190,HCHG NN LEVEL 4,10656.0,5328.0,1482.0,17224.0,2
CDM,10001290,HCHG NN LEVEL 2,7189.0,3594.5,1482.0,17224.0,3
CDM,10001390,HCHG NN LEVEL 3,8880.0,4440.0,1482.0,17224.0,3
CDM,10001490,HCHG NURSERY,2907.0,1453.5,1170.0,17224.0,3
CDM,10001590,HCHG OB ROOM,2774.0,1387.0,1482.0,17224.0,2
CDM,10001690,HCHG PEDS INTENSIVE CARE ROOM,8476.0,4238.0,1482.0,17224.0,2
CDM,10001790,HCHG PEDS STEP DOWN ROOM,6056.0,3028.0,1482.0,17224.0,2
CDM,10001890,HCHG PSYCH ICU ROOM,5547.0,2773.5,1482.0,17224.0,4
CDM,10001990,HCHG RESIDENTIAL ROOM,1585.0,792.5,1482.0,17224.0,4
CDM,10002090,HCHG ROUTINE ROOM,2774.0,1387.0,1482.0,17224.0,2
CDM,10002190,HCHG STEP DOWN ROOM,6056.0,3028.0,1482.0,17224.0,2
CDM,10002290,HCHG TELEMETRY ROOM,3764.0,1882.0,1482.0,17224.0,2
CDM,10002390,HCHG SNU ROOM,1223.0,611.5,1482.0,17224.0,2
CDM,10002490,HCHG OBSERVATION HOUR - TELEMETRY,157.0,78.5,515.0,1500.0,7
CDM,10003090,HCHG LTA DUAL DIAGNOSIS ROOM,2451.0,1225.5,1482.0,17224.0,4
CDM,10003490,HCHG NN INTENSIVE CARE ROOM LEVEL 4,10656.0,5328.0,1482.0,17224.0,2
CDM,10012190,HCHG REHAB ROOM,2365.0,1182.5,250.0,17224.0,6
CDM,10012390,HCHG NN LEVEL 1,4777.0,2388.5,1170.0,17224.0,3
CDM,11005190,HCHG PHARMACY FLAT RATE,37.0,18.5,1482.0,17224.0,2
CDM,11027390,HCHG NITROGLYCERIN SPRAY - 12 GM,1710.0,855.0,,,0
CDM,11027490,HCHG 0.9% NS 250 ML,18.0,9.0,1482.0,17224.0,2
CDM,11027590,HCHG ASPIRIN 81 MG TAB,1.0,0.5,,,0
CDM,11028390,HCHG SODIUM CHLORIDE SYRINGE,2.0,1.0,1482.0,17224.0,2
CDM,11028490,HCHG ECT PHARMACY CHARGE,228.0,114.0,1482.0,17224.0,2
CDM,11029990,HCHG GI COCKTAIL - MAALOX MAX 10ML & LIDOCANE VISCOUS 2% 5ML- PER 15ML,6.0,3.0,1482.0,17224.0,2
CDM,11032390,HCHG METHOTREXATE OPHTH 400MCG/0.1ML PER DOSE,1.0,0.5,1482.0,17224.0,2
CDM,11033390,HCHG SUFENTANIL 50MCG/ML INJ (SUFENTA) - PER 1ML,52.0,26.0,1482.0,17224.0,2
CDM,11033490,HCHG GANCICLOVIR OPHTH 2MG/0.1ML PER DOSE,1.0,0.5,1482.0,17224.0,2
CDM,11033790,HCHG BUPIVACAINE HCL PF (MARCAINE) 0.25% INJ PER 1ML,2.0,1.0,1482.0,17224.0,2
CDM,11034890,"HCHG INJECT, INTRAVITREAL VANCOMYCIN, PER DOSE",1.0,0.5,1482.0,17224.0,2
CDM,11035690,HCHG HYDRALAZINE PER 25 MG TAB,1.0,0.5,1482.0,17224.0,2
CDM,11037990,HCHG OLODATEROL RESPIMAT (STRIVERDI) PER DEVICE,831.0,415.5,,,0
CDM,11040790,HCHG CLINDAMYCIN INTRAVITREAL INJ PER 1MG/0.1ML,29.0,14.5,1482.0,17224.0,2
CDM,11046790,HCHG JUV DERM ULTRA PLUS XC PER (1) 0.55ML SYRINGE,1292.0,646.0,1482.0,17224.0,2
CDM,11046890,HCHG JUV DERM ULTRA PLUS XC PER 1ML SYRINGE,1571.0,785.5,1482.0,17224.0,2
CDM,11046990,HCHG JUV DERM VOLBELLA XC PER (1) 0.55ML SYRINGE,923.0,461.5,1482.0,17224.0,2
CDM,11047090,HCHG JUV DERM VOLBELLA XC PER 1ML SYRINGE,1692.0,846.0,1482.0,17224.0,2
CDM,11047190,HCHG JUV DERM VOLLURE PER 1ML SYRINGE,1692.0,846.0,1482.0,17224.0,2
CDM,11047290,HCHG RESTYLANE PER 1ML SYRINGE,1348.0,674.0,1482.0,17224.0,2
CDM,11047390,HCHG BELOTERO BALANCE PER 1ML SYRINGE,1283.0,641.5,1482.0,17224.0,2
CDM,11047490,HCHG BELOTERO BALANCE WITH LIDOCAINE PER 1ML SYRINGE,1481.0,740.5,1482.0,17224.0,2
CDM,11048090,HCHG SODIUM TETRADECYL SULFATE (SOTRADECOL) PER 1ML,117.0,58.5,1482.0,17224.0,2
CDM,30000090,"HCHG SPECIAL PROCEDURE,PER MIN",68.0,34.0,,,0
CDM,30000390,HCHG DELIVERY CHARGE,1038.0,519.0,1482.0,17224.0,2
CDM,30000490,HCHG RULE OUT LABOR/HOUR,201.0,100.5,1482.0,17224.0,2
CDM,30000690,HCHG OB - MAJOR SURGERY,95.0,47.5,,,0
CDM,30000790,HCHG OB TRANSPORT EVAL,246.0,123.0,1482.0,17224.0,2
CDM,30000890,HCHG OB - MINOR SURGERY,67.0,33.5,,,0
CDM,30001090,HCHG FOLLICLE STUDY,85.0,42.5,1482.0,17224.0,2
CDM,30001190,HCHG O.B.-EMERGENCY PACK,113.0,56.5,1482.0,17224.0,2
CDM,30001390,HCHG OB-CONTRACTION STRESS TEST,221.0,110.5,1482.0,17224.0,2
CDM,30001490,HCHG OB-OXYTOCIN CHALLENGE TEST,293.0,146.5,1482.0,17224.0,2
CDM,30001590,HCHG PERINEAL COLD THERAPY,85.0,42.5,1482.0,17224.0,2
CDM,30001690,HCHG OB US AMNIO S&I,174.0,87.0,,,0
CDM,30002090,HCHG OB-POST ANESTHETIC RECOVERY,236.0,118.0,,,0
CDM,30002390,HCHG CESAREAN SECTION PACK,937.0,468.5,,,0
CDM,30003190,HCHG SCALP PH SAMPLING,166.0,83.0,1482.0,17224.0,2
CDM,30003690,HCHG CHILDBIRTH CLASSES,236.0,118.0,,,0
CDM,30003790,HCHG INTRAN,450.0,225.0,1482.0,17224.0,2
CDM,30004190,HCHG LDR HIGH RISK CARE/HOUR,263.0,131.5,1482.0,17224.0,2
CDM,30004390,HCHG FETAL PULSE OXIMETRY PROBE,757.0,378.5,,,0
CDM,30004490,HCHG INTRAUTERINE BALLOON,2103.0,1051.5,,,0
CDM,30004990,HCHG AMNIOCENTESIS,240.0,120.0,,,0
CDM,30005090,"HCHG EXCISION OF LESION,CORNEA",2997.0,1498.5,,,0
CDM,30005190,HCHG DEST LESION-CORNEA CRYOTH,2106.0,1053.0,,,0
CDM,30005290,HCHG DESTRUCTION/RETINOPATHY,3204.0,1602.0,,,0
CDM,30005990,HCHG AIRCAST,662.0,331.0,,,0
CDM,30006190,HCHG CAST CYLINDER FIBERGLASS LE,995.0,497.5,,,0
CDM,30006290,HCHG CAST HIP SPICA W/BODY CAST PLT,2702.0,1351.0,,,0
CDM,30006390,HCHG CAST LONG ARM PLASTER,650.0,325.0,,,0
CDM,30006490,HCHG CAST LONG ARM FIBERGLASS,748.0,374.0,,,0
CDM,30006590,HCHG SPLINT LONG ARM PLASTER,396.0,198.0,,,0
CDM,30006690,HCHG CAST SHORT LEG PLASTER,556.0,278.0,,,0
CDM,30006790,HCHG CAST SHORT LEG FIBERGLASS,823.0,411.5,,,0
CDM,30006890,HCHG SPLINT SHORT LEG PLASTER,450.0,225.0,,,0
CDM,30006990,HCHG CAST THUMB SPICA PLASTER,463.0,231.5,,,0
CDM,30007090,HCHG CAST THUMB SPICA FIBERGLASS,524.0,262.0,,,0
CDM,30007190,HCHG CAST SHORT ARM - FIBERGLASS,774.0,387.0,,,0
CDM,30007290,HCHG SHORT ARM SPLINT,242.0,121.0,,,0
CDM,30007390,HCHG CAST LONG LEG - PLASTER,940.0,470.0,,,0
CDM,30007490,HCHG CAST LONG LEG - FIBERGLASS,1611.0,805.5,,,0
CDM,30007590,HCHG CAST PTB - PLASTER,720.0,360.0,,,0
CDM,30007690,HCHG CAST SHORT ARM - PLASTER,505.0,252.5,,,0
CDM,30007790,HCHG SPLINT LONG ARM FIBERGLASS,500.0,250.0,,,0
CDM,30007890,"HCHG SPLINT-SHORT LEG, FIBERGLASS",520.0,260.0,,,0
CDM,30007990,HCHG SPLINT-CUSTOM A/P,1745.0,872.5,,,0
CDM,30008090,"HCHG SPLINT-SUGAR TONG, PLASTER",461.0,230.5,,,0
CDM,30008290,HCHG CAST CLUBFOOT INFANT,360.0,180.0,,,0
CDM,30008390,"HCHG CAST HIP SPICA W/BODY,FIBERGLS",3230.0,1615.0,,,0
CDM,30008490,"HCHG SPLINT, PREFAB TIB/FIB,YOUTH",567.0,283.5,,,0
CDM,30008590,"HCHG SPLINT, PREFAB TIB/FIB, ADULT",659.0,329.5,,,0
CDM,30009090,"HCHG SHORT LEG WALKER, PREFAB",600.0,300.0,,,0
CDM,30009190,"HCHG SPLINT/BRACE/CAST FAB, 15 MIN",148.0,74.0,,,0
CDM,30009290,"HCHG MEASURE/FIT BRACE/SPLINT,15MIN",148.0,74.0,,,0
CDM,30009390,"HCHG LINING/STRAPPING SPLINT,15 MIN",148.0,74.0,,,0
CDM,30009490,"HCHG REVISE/ADJ SPLINT/CAST,15 MIN",160.0,80.0,,,0
CDM,30009590,"HCHG BIVALVE CAST, 15 MIN",148.0,74.0,,,0
