code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,,,,,,0
CDM,00000-0029-15,ETHYLENEDIAMINETETRAACETIC ACID (EDTA) 3% PRES FREE OPHTHALMIC SOLN,332.5,196.18,40.45,299.25,23
CDM,00000-1053-51,BICARBONATE HEMODIALYSIS SOLN WITHOUT CALCIUM 8 POT 2 MEQ-MAG 1 MEQ/L,100.0,59.0,12.16,90.0,23
CDM,0002-0213-01,INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION SOLUTION,23.4,13.81,2.85,21.06,23
CDM,0002-1433-01,DULAGLUTIDE 0.75 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-1433-80,DULAGLUTIDE 0.75 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-1434-01,DULAGLUTIDE 1.5 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-1434-80,DULAGLUTIDE 1.5 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-1436-01,GALCANEZUMAB-GNLM 120 MG/ML SUBCUTANEOUS PEN INJECTOR,3424.15,2020.25,416.53,3081.74,23
CDM,0002-1436-11,GALCANEZUMAB-GNLM 120 MG/ML SUBCUTANEOUS PEN INJECTOR,3424.15,2020.25,416.53,3081.74,23
CDM,0002-1445-01,IXEKIZUMAB 80 MG/ML SUBCUTANEOUS AUTO-INJECTOR,33523.95,19779.13,4078.01,30171.56,23
CDM,0002-1445-11,IXEKIZUMAB 80 MG/ML SUBCUTANEOUS AUTO-INJECTOR,33523.95,19779.13,4078.01,30171.56,23
CDM,0002-2236-01,DULAGLUTIDE 3 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-2236-80,DULAGLUTIDE 3 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-3182-01,DULAGLUTIDE 4.5 MG/0.5 ML SUBCUTANEOUS PEN INJECTOR,1184.52,698.87,144.09,1066.07,23
CDM,0002-3227-30,ATOMOXETINE 10 MG CAPSULE,61.07,36.03,7.43,54.96,23
CDM,0002-3228-30,ATOMOXETINE 25 MG CAPSULE,61.07,36.03,7.43,54.96,23
CDM,0002-3229-30,ATOMOXETINE 40 MG CAPSULE,66.35,39.15,8.07,59.72,23
CDM,0002-3235-60,"DULOXETINE 20 MG CAPSULE,DELAYED RELEASE",38.65,22.8,4.7,34.79,23
CDM,0002-3238-30,ATOMOXETINE 18 MG CAPSULE,61.07,36.03,7.43,54.96,23
CDM,0002-3239-30,ATOMOXETINE 60 MG CAPSULE,66.35,39.15,8.07,59.72,23
CDM,0002-3240-30,"DULOXETINE 30 MG CAPSULE,DELAYED RELEASE",43.32,25.56,5.27,38.99,23
CDM,0002-3270-30,"DULOXETINE 60 MG CAPSULE,DELAYED RELEASE",43.32,25.56,5.27,38.99,23
CDM,0002-4182-30,BARICITINIB 2 MG TABLET,444.11,262.02,54.02,399.7,23
CDM,0002-4464-30,TADALAFIL 20 MG TABLET,260.85,153.9,31.73,234.77,23
CDM,0002-4732-30,BARICITINIB 1 MG TABLET,444.11,262.02,54.02,399.7,23
CDM,0002-6120-60,SELPERCATINIB 120 MG TABLET,31.39,18.52,3.82,28.25,23
CDM,0002-7026-60,PIRTOBRUTINIB 100 MG TABLET,1814.53,1070.57,220.73,1633.08,23
CDM,0002-7510-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,249.7,147.32,30.37,224.73,23
CDM,0002-7511-01,INSULIN LISPRO PROTAMINE-LISPRO 100 UNIT/ML (75-25) SUBCUTANEOUS SUSP,249.7,147.32,30.37,224.73,23
CDM,0002-7516-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS CARTRIDGE,146.12,86.21,17.77,131.51,23
CDM,0002-7533-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,94.4,55.7,11.48,84.96,23
CDM,0002-7575-01,MIRIKIZUMAB-MRKZ 300 MG/15 ML (20 MG/ML) INTRAVENOUS SOLUTION,47366.48,27946.22,5761.88,42629.83,23
CDM,0002-7623-01,PEMETREXED DISODIUM 500 MG INTRAVENOUS POWDER FOR SOLUTION,18731.2,11051.41,2278.55,16858.08,23
CDM,0002-7640-01,PEMETREXED DISODIUM 100 MG INTRAVENOUS POWDER FOR SOLUTION,3746.25,2210.29,455.71,3371.63,23
CDM,0002-7669-01,RAMUCIRUMAB 10 MG/ML INTRAVENOUS SOLUTION,6281.4,3706.03,764.1,5653.26,23
CDM,0002-7678-01,RAMUCIRUMAB 10 MG/ML INTRAVENOUS SOLUTION,31407.0,18530.13,3820.5,28266.3,23
CDM,0002-7715-01,INSULIN GLARGINE (U-100) 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,249.96,147.48,30.41,224.96,23
CDM,0002-7715-59,INSULIN GLARGINE (U-100) 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,249.96,147.48,30.41,224.96,23
CDM,0002-7737-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,121.2,71.51,14.74,109.08,23
CDM,0002-8215-01,INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION SOLUTION,72.5,42.78,8.82,65.25,23
CDM,0002-8222-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8222-59,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8233-01,INSULIN LISPRO PROTAMINE-LISPRO 100 UNIT/ML (75-25) SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8233-05,INSULIN LISPRO PROTAMINE-LISPRO 100 UNIT/ML (75-25) SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8315-01,INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,72.5,42.78,8.82,65.25,23
CDM,0002-8501-01,INSULIN REGULAR HUMAN U-500(CONCENTRATE) 500 UNIT/ML SUBCUTANEOUS SOLN,7136.2,4210.36,868.08,6422.58,23
CDM,0002-8715-01,INSULIN HUMAN U-100 NPH-REGULR 70-30 MIX 100 UNIT/ML SUBCUTANEOUS SUSP,84.55,49.88,10.29,76.1,23
CDM,0002-8715-17,INSULIN HUMAN U-100 NPH-REGULR 70-30 MIX 100 UNIT/ML SUBCUTANEOUS SUSP,23.4,13.81,2.85,21.06,23
CDM,0002-8797-01,INSULIN LISPRO PROTAMINE-LISPRO 100 UNIT/ML (75-25) SUBCUTANEOUS PEN,93.62,55.24,11.39,84.26,23
CDM,0002-8797-59,INSULIN LISPRO PROTAMINE-LISPRO 100 UNIT/ML (75-25) SUBCUTANEOUS PEN,93.62,55.24,11.39,84.26,23
CDM,0002-8799-01,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8799-59,INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS PEN,94.4,55.7,11.48,84.96,23
CDM,0002-8803-01,INSULIN NPH-REGULAR 70-30 U-100 INSULIN 100 UNIT/ML SUBCUTANEOUS PEN,64.88,38.28,7.89,58.39,23
CDM,0002-8803-59,INSULIN NPH-REGULAR 70-30 U-100 INSULIN 100 UNIT/ML SUBCUTANEOUS PEN,64.88,38.28,7.89,58.39,23
CDM,0002-8805-01,INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML (3 ML) SUBCUTANEOUS PEN,64.88,38.28,7.89,58.39,23
CDM,0002-8824-01,INSULIN REGULAR HUMAN U-500 (CONCENTRATE) 500 UNIT/ML(3 ML) SUBCUT PEN,1377.8,812.9,167.6,1240.02,23
CDM,0002-8824-27,INSULIN REGULAR HUMAN U-500 (CONCENTRATE) 500 UNIT/ML(3 ML) SUBCUT PEN,1377.8,812.9,167.6,1240.02,23
CDM,0002-9401-01,DONANEMAB-AZBT 17.5 MG/ML INTRAVENOUS SOLUTION,3434.75,2026.5,417.82,3091.28,23
CDM,00021700224,SODIUM CHLORIDE 0.9% CADD PUMP CASSETTE 100 ML,35.88,21.17,4.36,32.29,23
CDM,00021704624,CADD PUMP EXTENSION SET,6.75,3.98,0.82,6.08,23
CDM,0003-0293-05,TRIAMCINOLONE ACETONIDE 40 MG/ML SUSPENSION FOR INJECTION,43.35,25.58,5.27,39.02,23
CDM,0003-0293-20,TRIAMCINOLONE ACETONIDE 40 MG/ML SUSPENSION FOR INJECTION,220.1,129.86,26.77,198.09,23
