date,index_cash,index_gross,pairs_cash,pairs_gross,hospitals_cash,hospitals_gross
2026-08-25,100.0000,100.0000,258,211,23,21
2026-08-26,100.0000,100.0000,258,211,23,21
2026-08-27,99.9359,99.9349,1144,1124,66,65
2026-08-28,99.9359,99.9349,1802,1728,98,95
2026-08-29,99.9359,99.9349,1946,1872,103,100
2026-08-30,99.9359,99.9349,1946,1872,103,100
2026-08-31,99.9359,99.9349,1946,1872,103,100
2026-09-01,99.9359,99.9349,1946,1872,103,100
2026-09-02,99.9359,99.9349,1946,1872,103,100
2026-09-03,99.9359,99.9349,473,419,23,21
2026-09-04,99.9359,99.9349,1892,1818,101,98
2026-09-05,99.9359,99.9349,1900,1854,101,99
2026-09-06,99.9359,99.9349,1917,1843,101,98
2026-09-07,99.9359,99.9349,1908,1834,101,98
2026-09-08,99.9359,99.9349,1904,1830,101,98
2026-09-09,100.0443,100.0455,1891,1845,101,99
2026-09-10,100.0443,100.0455,1907,1833,101,98
2026-09-11,100.0443,100.0455,1912,1836,101,98
2026-09-12,100.0443,100.0455,1914,1840,101,98
2026-09-13,100.0443,100.0455,1906,1880,101,101
2026-09-14,100.0443,100.0455,1908,1882,101,101
2026-09-15,100.0443,100.0455,1920,1894,102,102
2026-09-16,100.0443,100.0455,1946,1920,103,103
2026-09-17,100.0443,100.0455,1946,1920,103,103
2026-09-18,100.0443,100.0455,1946,1920,103,103
2026-09-19,100.0443,100.0455,1946,1920,103,103
2026-09-20,100.1790,100.1802,1946,1920,103,103
2026-09-21,100.1790,100.1802,1948,1922,103,103
2026-09-22,100.1790,100.1802,1948,1922,103,103
2026-09-23,100.1790,100.1802,1948,1922,103,103
2026-09-24,100.1790,100.1802,1940,1922,103,103
2026-09-25,100.1790,100.1802,1948,1922,103,103
